,801010.SI,801020.SI,801030.SI,801040.SI,801050.SI,801080.SI,801110.SI,801120.SI,801130.SI,801140.SI,801150.SI,801160.SI,801170.SI,801180.SI,801200.SI,801210.SI,801230.SI,801710.SI,801720.SI,801730.SI,801740.SI,801750.SI,801760.SI,801770.SI,801780.SI,801790.SI,801880.SI,801890.SI
2017-11-23,-3.077086779457705,-1.658630721433163,-2.3108153863836134,-1.5016639975978352,-1.0690161381512908,-4.442936997481162,-4.87031177255044,-3.9192456263995035,-1.7863942237547836,-2.438430522098789,-3.2213277797802697,-1.4968622973945855,-2.641700746949671,-2.1063522037848115,-2.2613148587119936,-2.194230804362518,-1.9377709645739927,-1.281058796421397,-2.221261586364809,-3.2616344942610453,-2.575490436762118,-2.937902370903811,-2.0164948453608167,-3.260179147816389,-1.527815482281214,-3.1378610232115856,-3.117803496042104,-2.014153874940694
2017-11-24,-0.8420163146898751,1.169718534630526,0.3017660788216636,0.6036626221376684,1.9814165436375264,-1.4591289800680252,0.45705279747831895,-0.41606391098218953,-0.20217904077276527,0.12212368766950643,-0.017556311870325914,0.17237242779366557,0.6398105910697227,0.8071086302958053,0.2061384970424074,-0.33210118439460645,0.5419080187033298,-0.5962825952985695,-0.16755194751106872,-0.3664589156817111,0.048870257103383885,-1.2599811208040324,0.23883674929505716,-0.6039958192635364,0.2428143133206051,0.11471896214747535,0.007398456188822955,0.28848711356026513
2017-11-27,-1.7543624206108221,-0.6146116320509432,-0.8001749986526252,0.3724606391172003,-2.2639125796953152,-2.790583386618939,-2.3443649915500964,-1.265527725900839,-0.7686023925790098,-0.764086917795026,-1.317456295920949,-0.3297812757929619,-1.3535842040448776,-0.7361143908734769,-1.296091200068572,-2.5333535731754675,-0.5778581418997564,-0.8498712776955686,-0.43290043290044045,-1.592612468558452,-1.216580295062708,-1.777846540369299,-1.0884739322564063,-4.021785655305365,-0.7023500696796803,-0.5663357932709445,-1.6097090914609313,-0.8629717783066981
2017-11-28,1.1156719985793595,1.6691846008241473,1.4483536641877626,3.274925155349817,1.635102137301292,2.463958361459073,0.46829133555335023,1.7214319170796522,1.0551811443080927,1.5345816741073826,1.0758906442634109,0.2931640646661515,0.8388903847565965,-0.3634036898189641,1.242495777982433,0.8208305212821898,0.8744432187888451,3.375467040128388,0.5930318754633124,1.4188014846499009,1.3157793075740276,2.8757291003002283,1.1057580066642592,2.053543837963856,-1.3592434680948062,-0.5724068593975118,0.7692455994910308,0.87802937282635
2017-11-29,-0.127324000743001,1.0060565762275653,0.9063158591099407,2.849521628715679,1.787441884632801,-0.737839800177742,-2.3058558836565934,-1.949733236908091,-0.04236030151845149,0.9846123398149498,-0.8419940773714107,0.2580264661432352,0.5322985588060103,3.9002552280586356,-0.05801040124235879,0.8704076650799308,-0.04429479570756678,3.186139994363457,0.16116112908910463,-0.16387266216261187,-0.36756855687398726,-0.8368659803238421,-0.7011209538603569,-1.2645204800704746,0.2267824697151033,-0.33435563801830215,-0.33270834927681125,0.36243463596739023
2017-11-30,-1.6333128182930978,-0.4459264135552421,-0.5897301414852785,-0.7215096931585285,-0.8551766384605863,-1.2203284522078084,-0.20172724466428482,-0.8292217832150284,-0.22782838618541357,-0.6085252327290624,-0.34328439596783555,-0.6673039449979767,-0.4032327608508912,-2.4849986826179005,-0.6533910612127936,0.7398150178856477,-1.350897540203222,-1.2177260276160728,-0.3240428261140793,-1.1412973784967195,0.0818982013011782,-0.930349393786456,-0.5707762557077722,-0.8503253191333493,-0.3776542873997646,-1.6860008805681614,-0.9073964230114306,-0.3258940065314242
2017-12-01,1.0907978328428714,-0.5344610970396291,0.34419191839887286,-0.331616601108764,-0.016672428461805833,1.7265927882801124,-0.5959026299131032,-0.16173180970637802,0.6113499070631967,0.34999852113302143,0.9004239984119033,0.2479874155639772,0.25005368188459887,0.12839134983597678,0.4487648735774341,0.08088899065179511,0.13581663701163205,-0.24059722440057385,0.7544929396662514,1.237306352383083,0.3456793900135313,1.8646804036419162,1.867797763320156,1.371837094784345,-0.6759734693932762,-1.2344657382212132,0.7804902617906562,0.8496869753182867
2017-12-04,0.3366648416485152,-0.5384891088193067,-0.20968756552736112,-0.9272474305462075,-0.7692666096112966,0.16385471735764767,1.0516138929976382,2.1478045249249567,-0.9940824132207648,-1.8300191254683185,-0.2668590338593124,-0.6645867562628083,0.3029779589580617,-0.7273619990383118,-0.32431967554452656,-1.339121629224027,-2.0257245995864537,-0.3186525180194244,-1.0718233100069807,-0.8833699116081006,-1.2140935454122648,-1.6891907321729627,-1.2147143229846113,-0.3772381176927464,0.23302852693847242,0.5337683652296477,-1.1588815226730609,-1.5232908474484996
2017-12-05,-1.8552724783173158,-1.9616105549178253,-2.4111424386786373,-2.1956051655613096,-3.2788505735764306,-2.249807792674241,0.053566006496663654,-0.2360091333006964,-2.0154162946225074,-2.2267517113462643,-1.19876784874281,-0.8035830437287395,-0.7153755807906004,-0.7692747888786267,-1.6418605179205903,-1.2208264670160118,-1.5660883562868988,-1.5679496330936016,-0.7727328340620621,-2.3987471629260626,-1.2128132329342067,-3.819003263609011,-1.8708866375804267,-2.1393966393339903,1.6325677022648533,1.626630061770773,-1.2909022313667085,-1.9937988952998809
2017-12-06,1.1917382941324828,0.03942434527426375,0.8346054344158249,-1.8382194005792885,0.22841900323467001,1.551520231479353,-1.1377398085825718,-0.7194615908668656,1.151550092057052,0.41523223321244807,0.49479606620488337,0.07756207776441482,-0.41247484909456844,-0.09350645070933528,0.8225142202851421,0.6397971121578694,0.9993749364034077,-0.3911696103501394,0.16126624830459235,0.5292316774581529,1.2894005185717372,1.632356350709041,1.3219937560555506,1.2842444438912137,-1.0387382283460367,-1.081534795318817,0.049450722650412615,0.7109435016411592
